cod_ibge,nome,uf,nome_uf,familias_cadastradas,familias_pobreza,familias_baixa_renda,familias_acima_meio_sm,familias_elegiveis,source_id,data_referencia,renda_referencia,renda_fonte,beneficiarios_tsee,subsidio_tsee_reais,source_id_tsee_municipio,data_referencia_tsee_municipio,tarifa_municipal_estimada,tarifa_flag_estimativa,distribuidoras_usadas,dec_apurado,fec_apurado,dec_limite,fec_limite,dec_rel,fec_rel,compensacoes_decfec_reais,dom_favela,dom_total,lacuna_bruta,d1_lacuna_tsee,conta_estimada,d2_peso_conta_renda,d3_qualidade,d4_vulnerabilidade_territorial,n_d1_lacuna_tsee,n_d2_peso_conta_renda,n_d3_qualidade,n_d4_vulnerabilidade_territorial,n_dimensoes_validas,ipem,ipem_dois_piores,dois_piores_indicadores,ranking,faixa,subsidio_por_familia
4304705,Carazinho,RS,Carazinho (RS),7487,1982,1894,3611,3876,mds_cecad,2026-08,2124.028320344344,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",1033,26161.0,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,4.185,1.385,14.0,9.0,0.2989285714285714,0.15388888888888888,33795.09,988,1069,2843,0.7334881320949432,69.5701,0.03275384764583619,0.2989285714285714,0.9242282507015903,88.9155175188143,13.434267073407606,86.99293201646337,100.0,4,72.33567915217132,94.45775875940714,"D4, D1",11,Muito alta,25.325266214908034
1301803,Ipixuna,AM,Ipixuna (AM),5719,4732,496,491,5228,mds_cecad,2026-08,523.6433089214381,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",2333,86944.55,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,4.39,3.82,54.0,89.0,0.0812962962962963,0.04292134831460674,444933.24,902,930,2895,0.5537490436113236,69.5701,0.13285780380407297,0.0812962962962963,0.9698924731182795,67.12703400888297,97.31902862403686,23.282394127307878,100.0,4,71.93211419005692,98.65951431201843,"D4, D2",12,Muito alta,37.2672738962709
1506005,Prainha,PA,Prainha (PA),14281,10383,1273,2625,11656,mds_cecad,2026-08,463.40345548554797,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",3504,130821.36,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,2.14,0.6433333333333334,27.333333333333332,22.0,0.07829268292682928,0.029242424242424247,13227.71,265,361,8152,0.699382292381606,69.5701,0.1501285740890848,0.07829268292682928,0.7340720221606648,84.78111062682578,100.0,22.403104402180972,79.54467129181914,4,71.68222158020647,92.39055531341289,"D2, D1",13,Muito alta,37.33486301369863
1300102,Anori,AM,Anori (AM),5845,4124,497,1224,4621,mds_cecad,2026-08,637.0151904650619,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",1374,52160.67999999999,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,6.48,2.94,70.0,87.0,0.09257142857142858,0.03379310344827586,318619.95999999996,1146,1287,3247,0.7026617615234798,69.5701,0.1092126232487633,0.09257142857142858,0.8904428904428905,85.17865720348797,77.50492327970456,26.583121198159166,96.48915213514928,4,71.43896345412526,90.83390466931863,"D4, D1",14,Muito alta,37.962649199417754
1300508,Barreirinha,AM,Barreirinha (AM),8877,5545,1651,1681,7196,mds_cecad,2026-08,538.18562089388,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",2653,92092.15,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,7.76,2.98,83.0,79.0,0.09349397590361445,0.03772151898734177,770709.2,592,748,4543,0.6313229571984436,69.5701,0.12926785350461434,0.09349397590361445,0.7914438502673797,76.53076444533636,94.31073468236013,26.85319137376177,85.76153158670799,4,70.86405552204157,90.03613313453405,"D2, D4",15,Muito alta,34.71245759517527
1303700,Santo Antônio do Içá,AM,Santo Antônio do Içá (AM),6897,3524,2051,1322,5575,mds_cecad,2026-08,508.56677443422035,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",2210,88364.95999999999,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,4.23,3.65,75.0,62.0,0.056400000000000006,0.05887096774193548,79726.95,2155,2502,3365,0.6035874439461884,69.5701,0.1367963923270383,0.05887096774193548,0.8613109512390088,73.16858664508942,100.0,16.717514245998938,93.33239032144424,4,70.80462280313314,96.66619516072211,"D2, D4",16,Muito alta,39.984144796380086
1600212,Cutias,AP,Cutias (AP),1764,943,321,500,1264,mds_cecad,2026-08,664.6517998641611,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",488,7745.88,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,18.3,4.55,110.0,46.0,0.16636363636363638,0.09891304347826087,0.0,209,267,776,0.6139240506329114,69.5701,0.10467149869182397,0.16636363636363638,0.7827715355805244,74.42161950645745,73.69956767489295,48.18534562747442,84.82179216022138,4,70.28208124226154,79.6217058333394,"D4, D1",17,Muito alta,15.872704918032786
1503457,Ipixuna do Pará,PA,Ipixuna do Pará (PA),11829,6961,1785,3083,8746,mds_cecad,2026-08,614.566025577476,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",3569,131574.38,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,5.0375,1.9325,36.75,21.25,0.13707482993197279,0.09094117647058823,512313.61,242,295,5177,0.5919277383946947,69.5701,0.1132019947484545,0.13707482993197279,0.8203389830508474,71.75516397624949,80.84792279572255,39.61122393179071,88.89263285444073,4,70.27673588955088,84.87027782508164,"D4, D2",18,Muito alta,36.86589520874195
1301209,Coari,AM,Coari (AM),22226,14003,3517,4706,17520,mds_cecad,2026-08,600.0151012421303,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",5909,213156.64,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,4.39,3.82,54.0,89.0,0.0812962962962963,0.04292134831460674,444933.24,6107,7251,11611,0.6627283105022831,69.5701,0.11594724842087875,0.0812962962962963,0.8422286581161219,80.33781069419187,83.14838082500643,23.282394127307878,91.26461674047269,4,69.50830059674472,87.20649878273956,"D4, D2",19,Muito alta,36.07321712641733
1304302,Urucará,AM,Urucará (AM),5616,3487,775,1354,4262,mds_cecad,2026-08,715.658464938285,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",1495,60426.75,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,7.76,2.98,83.0,79.0,0.09349397590361445,0.03772151898734177,770709.2,56,59,2767,0.6492257156264665,69.5701,0.09721131434671061,0.09349397590361445,0.9491525423728814,78.7009877400139,67.44810860244269,26.85319137376177,100.0,4,68.25057192905459,89.35049387000694,"D4, D1",20,Muito alta,40.41923076923077
