source_id,orgao,dataset,resource_name,original_filename,local_path,url,download_date,data_reference_date,metadata_modified,geographic_scale,temporal_scale,license,used_in,notes
aneel_cde,ANEEL,Beneficiários da Conta de Desenvolvimento Energético,CDE beneficiários dez 2024,cde-beneficiarios-01dec2024.zip,data/raw/aneel/cde/2026-09-05/cde-beneficiarios-01dec2024.zip,https://dadosabertos.aneel.gov.br/dataset/beneficiarios-da-cde,2026-09-05,2024-12,2026-07-24,municipal,mensal,Licença Aberta ANEEL,tsee_municipio,Coluna municipal real CodIbgeMunicipio
mds_cecad,MDS,CECAD Painel,painel01.php Divisão Territorial por município,3303500.html,data/raw/mds/cecad-painel/2026-09-05/3303500.html,https://cecad.cidadania.gov.br/painel01.php,2026-09-05,2026-08,2026-09-05,municipal,mensal,Dados públicos federais,cadunico_municipio,TABCAD sem variável Município; coleta por sessão de UF
aneel_tarifas,ANEEL,Tarifas homologadas distribuidoras,Tarifas homologadas distribuidoras energia elétrica,tarifas-homologadas-distribuidoras-energia-eletrica.csv,data/raw/aneel/tarifas/2026-09-05/tarifas-homologadas-distribuidoras-energia-eletrica.csv,https://dadosabertos.aneel.gov.br/dataset/tarifas-distribuidoras-energia-eletrica,2026-09-05,2024-12,2026-09-05,distribuidora,vigência,Licença Aberta ANEEL,tarifa_municipio,Estimativa municipal por mediana nacional B1 residencial com tributos
aneel_indger,ANEEL,INDGER indicadores gerenciais da distribuição,Dados comerciais INDGER,indger-dados-comerciais.parquet,data/raw/aneel/indger/2026-09-05/indger-dados-comerciais.parquet,https://dadosabertos.aneel.gov.br/dataset/indger-indicadores-gerenciais-da-distribuicao,2026-09-05,2026-07,2026-09-05,municipal,mensal,Licença Aberta ANEEL,tarifa_municipio,Coluna municipal real CodMunicipioIBGE; usado para identificar distribuidora dominante
aneel_decfec,ANEEL,Indicadores coletivos de continuidade DEC e FEC,Indicadores continuidade coletivos 2020 2029,indicadores-continuidade-coletivos-2020-2029.parquet,data/raw/aneel/decfec/2026-09-05/indicadores-continuidade-coletivos-2020-2029.parquet,https://dadosabertos.aneel.gov.br/dataset/indicadores-coletivos-de-continuidade-dec-e-fec,2026-09-05,2024,2026-09-05,conjunto consumidor,mensal e anual,Licença Aberta ANEEL,qualidade_municipio,DEC e FEC por IdeConjUndConsumidoras
aneel_indqual,ANEEL,IndQual município,Mapeamento municipal de conjuntos consumidores,indqual-municipio.csv,data/raw/aneel/indqual/2026-09-05/indqual-municipio.csv,https://dadosabertos.aneel.gov.br/dataset/indqual-municipio,2026-09-05,2026-08,2026-08-05,municipal,carga,Licença Aberta ANEEL,qualidade_municipio,Coluna municipal real CodMunicipio; ponte entre conjunto consumidor e município
ibge_favelas,IBGE,SIDRA 9887,Domicílios em favelas e comunidades urbanas,sidra_9887_favelas_municipios_2022.json,data/raw/ibge/favelas/2026-09-05/sidra_9887_favelas_municipios_2022.json,https://servicodados.ibge.gov.br/api/v3/agregados/9887,2026-09-05,2022,2026-09-05,municipal,censo,Licença IBGE,territorio_municipio,Export SIDRA com variáveis 9909 e 1009909
ibge_renda,IBGE,SIDRA 10296,Classes de rendimento nominal mensal domiciliar per capita,sidra_10296_renda_classes_uf_33_2022.json,data/raw/ibge/censo2022-renda/2026-09-05/sidra_10296_renda_classes_uf_33_2022.json,https://servicodados.ibge.gov.br/api/v3/agregados/10296,2026-09-05,2022,2026-09-05,municipal,censo,Licença IBGE,cadunico_municipio,Export SIDRA por UF; renda média aproximada por pontos médios de faixas
