cod_ibge,nome,uf,distribuidora,familias_cadastradas,familias_pobreza,familias_baixa_renda,familias_elegiveis,beneficiarios_tsee,cobertura,lacuna_pos,sobrecobertura,subs_liquido,subsidio_familia_liq,rs_nao_acessado,subsidio_indisponivel,tarifa_municipal,tarifa_baixa_renda,rank_tarifa,moradores_por_domicilio,peso_pob80_cheia,dec_h_ano,d3_corr,d3_max,n_conj,violacao,dom_favela,dom_total_mun,d4_corr,favela_mapeada,renda_referencia,conta_cheia80,conta_social80,econ_mes,peso_social_ef,perda_familias_mes
1301803,Ipixuna,AM,AMAZONAS ENERGIA S.A.,5719,4732,496,5228,2333,45.52845528455285,2814.0,0,86944.55,37.2672738962709,147361.03232142856,0,0.84304,0.7396600000000001,2058.0,5.000208073241781,0.0618719206346237,56.29,1.0424074074074074,1.0424074074074074,1.0,1.0,902,4806,0.1876820640865584,True,523.6433089214381,67.4432,0.0,67.4432,0.0,189785.1648
1506005,Prainha,PA,EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,14281,10383,1273,11656,3504,31.04422279106717,7812.0,0,130821.36,37.33486301369863,445380.2895081035,0,0.9783,0.8751599999999999,20.0,3.844975556762629,0.0933709900133157,25.00762393332423,0.9203560349136426,0.9278260869565216,3.0,0.0,265,9205,0.028788701792504,True,463.403455485548,78.264,0.0,78.264,0.0,611398.368
1300102,Anori,AM,AMAZONAS ENERGIA S.A.,5845,4124,497,4621,1374,32.19302220208428,2993.0,0,52160.67999999999,37.96264919941776,154975.81286418013,0,0.84304,0.7396600000000001,2058.0,4.127079816734989,0.0749615928942635,73.82,1.0545714285714285,1.0545714285714285,1.0,1.0,1146,4147,0.2763443453098625,True,637.0151904650619,67.4432,0.0,67.4432,0.0,201857.4976
1300508,Barreirinha,AM,AMAZONAS ENERGIA S.A.,8877,5545,1651,7196,2653,34.38718662952646,4711.0,0,92092.15,34.71245759517527,220540.6662292426,0,0.84304,0.7396600000000001,2058.0,4.48150833937636,0.0690331142186989,66.89,0.8059036144578313,0.8059036144578313,1.0,0.0,592,6895,0.085859318346628,True,538.18562089388,67.4432,0.0,67.4432,0.0,317724.91520000005
1303700,Santo Antônio do Içá,AM,AMAZONAS ENERGIA S.A.,6897,3524,2051,5575,2210,43.194724308481405,3101.0,0,88364.95999999999,39.984144796380086,151827.82691263783,0,0.84304,0.7396600000000001,2058.0,5.357890729107177,0.0577414681832776,46.59,0.6916129032258065,0.6916129032258065,1.0,0.0,2155,5253,0.4102417666095564,True,508.5667744342204,67.4432,0.0,67.4432,0.0,209141.3632
1600212,Cutias,AP,COMPANHIA DE ELETRICIDADE DO AMAPA,1764,943,321,1264,488,42.68567141785447,764.0,0,7745.88,15.872704918032786,37570.982284710015,0,0.8083199999999999,0.72508,3016.0,3.8209342560553634,0.0776331579614209,97.39,0.8853636363636364,0.8853636363636364,1.0,0.0,209,1156,0.180795847750865,True,664.6517998641611,64.6656,0.0,64.6656,0.0,49404.5184
1503457,Ipixuna do Pará,PA,EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,11829,6961,1785,8746,3569,40.43973753885116,5174.0,0,131574.38,36.86589520874195,298138.31056077423,0,0.9783,0.8751599999999999,20.0,3.455355103905001,0.1038993572342823,33.73685995235799,1.0670892213955656,1.3109090909090908,4.0,1.0,242,8758,0.0276318794245261,True,614.566025577476,78.264,0.0,78.264,0.0,404937.936
1301209,Coari,AM,AMAZONAS ENERGIA S.A.,22226,14003,3517,17520,5909,36.79636003033309,10835.0,0,213156.64,36.07321712641733,531883.4339489538,0,0.84304,0.7396600000000001,2058.0,4.015315417900251,0.0770481132528318,56.29,1.0424074074074074,1.0424074074074074,1.0,1.0,6107,17564,0.3476998405830107,True,600.0151012421303,67.4432,0.0,67.4432,0.0,730747.072
1304302,Urucará,AM,AMAZONAS ENERGIA S.A.,5616,3487,775,4262,1495,34.61630983882608,2718.0,0,60426.75,40.41923076923077,143456.20999305072,0,0.84304,0.7396600000000001,2058.0,4.335592428137415,0.0713564483267463,66.89,0.8059036144578313,0.8059036144578313,1.0,0.0,56,4279,0.0130871698995092,True,715.658464938285,67.4432,0.0,67.4432,0.0,183310.6176
5222302,Vila Propício,GO,EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.,1810,605,359,964,406,52.82426778242678,451.0,0,11850.3,29.187931034482755,22189.128554455445,0,0.89181,0.7197899999999999,600.0,2.661926605504587,0.1229446837842495,27.675651724881927,1.7605614111837045,2.721,5.0,1.0,62,2180,0.028440366972477,True,1229.207600827301,71.34479999999999,0.0,71.34479999999999,0.0,32176.504799999995
1300409,Barcelos,AM,AMAZONAS ENERGIA S.A.,5359,2998,1056,4054,1261,30.80010032605969,2759.0,0,63353.26,50.24049167327518,149827.58486970686,0,0.84304,0.73966,2058.0,4.401363743240066,0.070290140763616,73.82,1.0545714285714285,1.0545714285714285,1.0,1.0,413,4253,0.097107923818481,True,623.7992466741465,67.4432,0.0,67.4432,0.0,186075.7888
1301506,Envira,AM,AMAZONAS ENERGIA S.A.,5743,4003,788,4791,2290,47.69518272425249,2519.0,0,90759.05,39.63277292576419,135918.80267740533,0,0.84304,0.7396600000000001,2058.0,4.08984468339307,0.075644064998467,56.29,1.0424074074074074,1.0424074074074074,1.0,1.0,442,4185,0.1056152927120669,True,593.9444379527927,67.4432,0.0,67.4432,0.0,169889.42080000002
1301407,Eirunepé,AM,AMAZONAS ENERGIA S.A.,9204,5882,1595,7477,3353,45.30980496218655,4122.0,0,123671.69,36.883892036981806,212395.33807906296,0,0.84304,0.7396600000000001,2058.0,4.067527675276753,0.0760590957855426,56.29,1.0424074074074074,1.0424074074074074,1.0,1.0,1470,8130,0.1808118081180811,True,606.5268529438447,67.4432,0.0,67.4432,0.0,278000.8704
1300060,Amaturá,AM,AMAZONAS ENERGIA S.A.,4407,2410,822,3232,1250,38.32518337408313,2018.0,0,59215.29,47.372232,104654.30071770334,0,0.84304,0.7396600000000001,2058.0,5.007884972170687,0.0617770733120736,46.59,0.6916129032258065,0.6916129032258065,1.0,0.0,533,2156,0.24721706864564,True,584.7521074571561,67.4432,0.0,67.4432,0.0,136100.3776
1300607,Benjamin Constant,AM,AMAZONAS ENERGIA S.A.,10866,7176,1716,8892,3742,42.91583519192393,4863.0,0,148143.52000000002,39.589396044895786,241458.83056345733,0,0.84304,0.7396600000000001,2058.0,4.847584603461637,0.0638199231929441,46.59,0.6916129032258065,0.6916129032258065,1.0,0.0,1191,7742,0.1538362180315164,True,589.3725419664269,67.4432,0.0,67.4432,0.0,327976.28160000005
1600105,Amapá,AP,COMPANHIA DE ELETRICIDADE DO AMAPA,2871,1954,343,2297,1024,58.5981715280801,951.0,0,18132.14,17.70716796875,50222.52902674591,0,0.80832,0.72508,3002.0,3.859367396593674,0.0768600555941786,50.25,0.9466666666666668,0.9466666666666668,1.0,0.0,72,2055,0.0350364963503649,True,862.9768600252207,64.6656,0.0,64.6656,0.0,61496.9856
1501782,Breu Branco,PA,EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,17261,8748,3092,11840,4092,33.344999562516406,7618.0,0,157588.08,38.511260997067446,456295.1720913146,0,0.9783,0.8751599999999999,20.0,3.370529116169081,0.1065141887039901,34.599256277466125,1.529509201159586,2.326,4.0,1.0,3954,13532,0.2921962754951226,True,754.4806292479719,78.264,0.0,78.264,0.0,596215.152
1302405,Lábrea,AM,AMAZONAS ENERGIA S.A.,18261,12228,1877,14105,5479,38.319148936170215,8697.0,0,216957.64,39.59803613798139,455404.1514491949,0,0.84304,0.7396600000000001,2058.0,4.019345106043128,0.0769708668705942,56.91,0.7296153846153847,0.7296153846153847,1.0,0.0,1822,11269,0.1616824917916408,True,634.1165054974168,67.4432,0.0,67.4432,0.0,586553.5104
1301308,Codajás,AM,AMAZONAS ENERGIA S.A.,6684,3745,1287,5032,2084,38.666137356093685,3090.0,0,76935.62,36.91728406909789,157647.0729979466,0,0.84304,0.7396600000000001,2058.0,4.211452162986896,0.0734598103198691,56.29,1.0424074074074074,1.0424074074074074,1.0,1.0,784,5571,0.140728774008257,True,611.5338632682635,67.4432,0.0,67.4432,0.0,208399.488
