cod_ibge,linhas_tsee,subs_pos,subs_neg,n_negativos,subs_liquido
1506351,2504.0,96655.54999999999,-204.23,5.0,96451.32
1506401,927.0,34748.11,0.0,0.0,34748.11
1506500,8071.0,333585.24,-171.37,5.0,333413.87
1506559,3116.0,121776.90999999999,-70.06,2.0,121706.85
1506583,1406.0,56711.990000000005,-146.54,2.0,56565.45
1506609,4535.0,181054.71,-0.8,1.0,181053.91
1506708,3284.0,145862.52000000002,-707.27,8.0,145155.25
1506807,52909.0,2448830.26,-7817.4400000000005,112.0,2441012.82
1506906,722.0,24184.82,-34.81,1.0,24150.01
1507003,3951.0,149627.87,-74.41999999999999,5.0,149553.45
1507102,2158.0,77535.09,-22.37,1.0,77512.72
1507151,2934.0,117667.93,-86.8,2.0,117581.13
1507201,2691.0,97852.79999999999,0.0,0.0,97852.8
1507300,4551.0,180593.14,-1152.5500000000002,12.0,179440.59
1507409,2301.0,85677.49,-6.95,1.0,85670.54
1507458,2667.0,112865.35,-124.74,1.0,112740.61
1507466,536.0,18461.57,0.0,0.0,18461.57
1507474,2182.0,75615.87999999999,-39.67,5.0,75576.21
1507508,1082.0,41452.31999999999,-408.15999999999997,2.0,41044.16
1507607,5849.0,226387.19,-99.34999999999998,5.0,226287.84
1507706,1671.0,53592.84,-651.41,5.0,52941.43
1507755,577.0,24402.269999999997,0.0,0.0,24402.27
1507805,2378.0,95328.92,-215.1,4.0,95113.81999999999
1507904,3779.0,146156.5,-211.53000000000003,2.0,145944.97
1507953,9167.0,416214.07,-377.96,9.0,415836.11
1507961,1540.0,57502.78999999999,-50.7,3.0,57452.09
1507979,2544.0,113059.18,-196.17000000000002,5.0,112863.01
1508001,6868.0,278933.42000000004,-62.67000000000001,4.0,278870.75
1508035,2585.0,91169.19,-409.37,1.0,90759.82
1508050,1213.0,48755.83,-51.76,1.0,48704.07
1508084,4074.0,172315.19,-463.36,3.0,171851.83
1508100,8799.0,367793.01,-3444.120000000001,21.0,364348.89
1508126,3325.0,141951.62,-138.4,3.0,141813.22
1508159,4418.0,179206.41999999998,-567.13,9.0,178639.29
1508209,7165.0,277944.66000000003,-18.07,2.0,277926.59
1508308,6011.0,213281.39,-36.2,3.0,213245.19
1508357,2712.0,114132.93,0.0,0.0,114132.93
1508407,6023.0,264105.12,-576.2,11.0,263528.92
2700102,3618.0,112589.82,-41.010000000000005,4.0,112548.81
2700201,2791.0,93810.53,-187.27000000000004,14.0,93623.26
2700300,33466.0,1215080.92,-516.49,23.0,1214564.43
2700409,7457.0,254882.65000000002,-187.95999999999998,6.0,254694.69
2700508,3113.0,106385.02000000002,-63.25,2.0,106321.77
2700607,1368.0,51752.17,-6.48,1.0,51745.69
2700706,3012.0,104447.29,-146.77,3.0,104300.52
2700805,1014.0,30719.050000000003,-17.42,1.0,30701.63
2700904,1132.0,36446.450000000004,0.0,0.0,36446.45
2701001,6162.0,213970.77000000002,-131.45999999999998,7.0,213839.31
2701100,1630.0,52181.3,0.0,0.0,52181.3
2701209,1842.0,58603.18,-20.75,1.0,58582.43
2701308,3235.0,111787.87,-7.72,1.0,111780.15
2701357,1489.0,49329.2,-107.12,1.0,49222.08
2701407,6396.0,222183.40999999997,-32.85,2.0,222150.56
2701506,2010.0,62711.86,0.0,0.0,62711.86
2701605,3057.0,93450.95999999999,-34.9,3.0,93416.06
2701704,3366.0,112315.73,-49.16,2.0,112266.56999999999
2701803,1744.0,52881.2,0.0,0.0,52881.2
2701902,1284.0,37601.94,0.0,0.0,37601.94
2702009,2095.0,68370.78,0.0,0.0,68370.78
2702108,3454.0,113087.69,-109.8,3.0,112977.89
2702207,1088.0,38505.18,0.0,0.0,38505.18
2702306,7598.0,260129.75000000003,-983.4200000000001,7.0,259146.33
2702355,4738.0,161219.78000000003,-0.01,1.0,161219.77
2702405,8695.0,304194.48,-80.14,8.0,304114.34
2702504,2003.0,65441.42,0.0,0.0,65441.42
2702553,3472.0,104545.14,-28.41,1.0,104516.73
2702603,4391.0,146893.52,0.0,0.0,146893.52
2702702,679.0,22047.02,0.0,0.0,22047.02
2702801,2022.0,65876.43,-4.59,1.0,65871.84
2702900,6121.0,195649.57,-160.05,1.0,195489.52
2703007,3090.0,94164.32,-1.39,1.0,94162.93
2703106,5340.0,170203.49000000002,-33.71,4.0,170169.78
2703205,3954.0,138743.28999999998,-11.309999999999999,2.0,138731.98
2703304,2578.0,78025.70000000001,0.0,0.0,78025.7
2703403,998.0,35905.25,0.0,0.0,35905.25
2703502,922.0,30213.95,0.0,0.0,30213.95
2703601,2345.0,79227.41,0.0,0.0,79227.41
2703700,991.0,30727.719999999998,0.0,0.0,30727.72
2703759,1826.0,61712.61,-121.83,1.0,61590.78
2703809,2620.0,84316.07,-21.009999999999998,3.0,84295.06
2703908,842.0,28329.97,-22.89,2.0,28307.079999999998
2704005,4869.0,159335.39,-50.459999999999994,4.0,159284.93
2704104,3430.0,112833.7,0.0,0.0,112833.7
2704203,4278.0,140736.61000000002,-25.63,1.0,140710.98
2704302,111496.0,4112469.95,-2793.7999999999997,87.0,4109676.15
2704401,2729.0,92042.25,-5.44,1.0,92036.81
2704500,6554.0,225051.08000000002,-52.919999999999995,9.0,224998.16
2704609,1991.0,61447.149999999994,0.0,0.0,61447.15
2704708,11179.0,396945.58999999997,-185.26,6.0,396760.33
2704807,2025.0,68908.66,0.0,0.0,68908.66
2704906,589.0,17305.18,0.0,0.0,17305.18
2705002,3472.0,95870.48000000001,-28.54,2.0,95841.94
2705101,4484.0,157809.88999999998,-121.13999999999999,6.0,157688.75
2705200,3407.0,115792.59,-14.740000000000002,2.0,115777.85
2705309,886.0,29760.65,-13.74,1.0,29746.91
2705408,1359.0,47292.880000000005,-2.3,1.0,47290.58
2705507,4435.0,156386.02000000002,-26.270000000000003,3.0,156359.75
2705606,2095.0,67434.54000000001,0.0,0.0,67434.54
2705705,3559.0,118372.68,-6.27,2.0,118366.41
2705804,1559.0,53550.399999999994,0.0,0.0,53550.4
2705903,1073.0,33574.81,0.0,0.0,33574.81
2706000,2040.0,62495.119999999995,-28.75,3.0,62466.37
2706109,2553.0,77523.83,-17.72,1.0,77506.11
2706208,956.0,34823.46,-96.6,1.0,34726.86
2706307,12873.0,448992.75,-25.79,4.0,448966.96
2706406,4159.0,143815.7,-103.56,9.0,143712.13999999998
2706422,2019.0,80164.78,-28.67,1.0,80136.11
2706448,2702.0,95455.37,0.0,0.0,95455.37
2706505,2271.0,83470.42,-21.23,3.0,83449.19
2706604,1545.0,49122.59,-46.949999999999996,2.0,49075.64
2706703,12040.0,422711.0,-23.24,5.0,422687.76
2706802,3772.0,131909.91999999998,-7.65,1.0,131902.27
2706901,7264.0,258739.43,-60.07,4.0,258679.36
2707008,492.0,14203.460000000001,-48.489999999999995,4.0,14154.97
2707107,4047.0,138688.66999999998,-209.98999999999998,7.0,138478.68
2707206,2455.0,77476.98,-30.560000000000002,2.0,77446.42
2707305,4811.0,173630.28999999998,-120.28999999999999,6.0,173510.0
2707404,1498.0,51110.38,0.0,0.0,51110.38
2707503,3988.0,129069.20000000001,-77.81,4.0,128991.39
2707602,2133.0,65220.16,-24.73,2.0,65195.43
2707701,16233.0,578988.05,-126.85,5.0,578861.2
2707800,1661.0,58749.06,0.0,0.0,58749.06
2707909,1432.0,55178.009999999995,0.0,0.0,55178.01
2708006,7819.0,258785.45,-80.76,5.0,258704.69
2708105,2477.0,74687.91,-26.299999999999997,2.0,74661.61
2708204,1518.0,47700.899999999994,-24.02,1.0,47676.88
2708303,3769.0,124808.52,-82.53,3.0,124725.99
2708402,5422.0,176584.81,-153.22,7.0,176431.59
2708501,5967.0,207785.34999999998,-107.04,7.0,207678.31
2708600,10103.0,370142.75,-193.95,12.0,369948.8
2708709,1443.0,50568.78999999999,-25.89,2.0,50542.9
2708808,5737.0,196733.94,-53.07,3.0,196680.87
2708907,3645.0,137793.62,-64.36,5.0,137729.26
2708956,2245.0,69084.38,-11.83,1.0,69072.55
2709004,1058.0,31816.840000000004,0.0,0.0,31816.84
2709103,3706.0,127060.51,-12.44,2.0,127048.06999999999
2709152,6673.0,233143.74,-51.58,6.0,233092.16
